TRAVEL_ID,TRIP_ID,START_VISIT_AREA_ID,END_VISIT_AREA_ID,START_DT_MIN,END_DT_MIN,MVMN_CD_1,MVMN_CD_2
e_e000302,2305200003,,2305200003,,2023-05-20 13:00,15,
e_e000302,2305200004,,2305200004,,2023-05-20 14:30,15,
e_e000302,2305200005,,2305200005,,2023-05-20 17:00,5,13
e_e000302,2305200006,,2305200006,,2023-05-20 20:00,1,
e_e000302,2305200007,,2305200007,,2023-05-20 23:00,12,
e_e000302,2305210001,,2305210001,,2023-05-21 13:00,5,
e_e000302,2305210002,,2305210002,,2023-05-21 14:00,15,
e_e000302,2305210003,,2305210003,,2023-05-21 16:00,15,
e_e000302,2305210004,,2305210004,,2023-05-21 17:00,15,
e_e000302,2305210005,,2305210005,,2023-05-21 18:00,15,
e_e000302,2305210006,,2305210006,,2023-05-21 18:30,15,
e_e000302,2305210007,,2305210007,,2023-05-21 22:00,7,
e_e000307,2305210001,2305210001,,2023-05-21 11:30,,,
e_e000307,2305210002,,2305210002,,2023-05-21 13:00,1,
e_e000307,2305210003,,2305210003,,2023-05-21 14:00,1,
e_e000307,2305210004,,2305210004,,2023-05-21 15:00,1,
e_e000307,2305210005,,2305210005,,2023-05-21 16:00,1,
e_e000307,2305210006,,2305210006,,2023-05-21 17:00,1,
e_e000307,2305210007,,2305210007,,2023-05-21 17:30,1,
e_e000307,2305210008,,2305210008,,2023-05-21 20:00,1,
e_e000311,2305270001,2305270001,,2023-05-27 09:00,,,
e_e000311,2305270002,,2305270002,,2023-05-27 09:30,1,
e_e000311,2305270003,,2305270003,,2023-05-27 10:00,1,
e_e000311,2305270004,,2305270004,,2023-05-27 11:00,1,
e_e000311,2305270005,,2305270005,,2023-05-27 12:00,1,
e_e000311,2305270006,,2305270006,,2023-05-27 12:30,1,
e_e000311,2305270007,,2305270007,,2023-05-27 13:30,1,
e_e000311,2305270008,,2305270008,,2023-05-27 15:00,1,
e_e000317,2305270001,2305270001,,2023-05-27 09:00,,,
e_e000317,2305270002,,2305270002,,2023-05-27 10:00,5,
e_e000317,2305270003,,2305270003,,2023-05-27 10:00,5,
e_e000317,2305270004,,2305270004,,2023-05-27 10:30,15,
e_e000317,2305270005,,2305270005,,2023-05-27 13:30,5,
e_e000317,2305270006,,2305270006,,2023-05-27 14:00,15,
e_e000317,2305270007,,2305270007,,2023-05-27 18:00,5,
e_e000317,2305270008,,2305270008,,2023-05-27 18:00,15,
e_e000317,2305270009,,2305270009,,2023-05-27 19:00,15,
e_e000317,2305270010,,2305270010,,2023-05-27 19:30,15,
e_e000317,2305270011,,2305270011,,2023-05-27 20:30,15,
e_e000317,2305270012,,2305270012,,2023-05-27 22:30,5,15
e_e000317,2305280001,,2305280001,,2023-05-28 09:00,13,15
e_e000317,2305280002,,2305280002,,2023-05-28 10:30,5,
e_e000317,2305280003,,2305280003,,2023-05-28 11:00,15,
e_e000317,2305280004,,2305280004,,2023-05-28 12:00,5,
e_e000317,2305280005,,2305280005,,2023-05-28 12:00,15,
e_e000317,2305280006,,2305280006,,2023-05-28 12:30,15,
e_e000317,2305280007,,2305280007,,2023-05-28 16:30,15,
e_e000317,2305280008,,2305280008,,2023-05-28 17:30,15,
e_e000317,2305280009,,2305280009,,2023-05-28 21:00,15,
e_e000317,2305280010,,2305280010,,2023-05-28 22:00,15,
e_e000317,2305290001,,2305290001,,2023-05-29 10:00,15,
