TRAVEL_ID,ADV_NM,ADV_SEQ,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD,활동소비내역중복여부,숙박소비내역중복여부
e_e002069,아쿠아리움 입장권,2,2,1168119948,한국정보통신(주),서울 중구 세종대로 39,,2005001,1114011700,5/9/23 15:20,1,33000,현대백화점면세점 가족을 위한 특판 안내,,0,0
e_e002097,피크닉 용품 대여,1,2,5248601528,네이버파이낸셜,경기 성남시 분당구 정자일로 95,경기 성남시 분당구 정자동 178-4,3180021,4113510300,6/2/23 0:00,1,25000,피크닉데이,,0,0
e_e002136,아메리카노,1,2,2018121515,스타벅스,광주 광산구 상무대로205번길 6,,4289268,2920010100,6/4/23 9:32,3,10000,I-G)아메리카노,,0,0
e_e002141,숙소예약,1,3,,노블레스호텔,서울 노원구 노해로77길 22,서울 노원구 상계동 711-9,4130086,1135010500,5/31/23 14:06,3,68824,숙박비,,0,0
e_e002159,주유,1,1,2688501131,삼미상사(주)서안성,경기 안성시 원곡면 남북대로 1106,경기 안성시 원곡면 칠곡리 581-3,2012004,4155038022,6/4/23 12:38,1,50000,주유비,,0,0
e_e002160,서울대공원 스카이리프트 패키지,1,2,,서울대공원,경기 과천시 대공원광장로 102,경기 과천시 막계동 159-1,3195012,4129010400,,1,0,입장권,,0,0
e_e002183,전시회 예매,0,2,,하리보월드|골드베렌의100주년생일기념전,155-2  지하1층,,,,,1,24000,,1111012800,0,0
e_e002184,과일(애플망고),0,2,,느영나영,114-11,,,,,3,50000,,5011012600,0,0
e_e002186,도시락쌀 재료들,0,2,,길음시장,길음시장,,,,,3,15000,,1129013400,0,0
e_e002235,콘서트티켓,1,2,,(주)에스이십칠,서울 강남구 도곡로23길 23,서울 강남구 역삼동 796-12,4166222,1168010100,4/19/23 0:00,1,121000,2023 성시경의 축가- 관람권,,0,0
e_e002236,Ktx,0,2,,오송역,오송가락로 123,,,,,5,74000,,4311325000,0,0
e_e002254,편의점 커피,1,1,1010688427,세븐일레븐,서울 종로구 삼봉로 81,,3100006,1111012400,6/5/23 16:02,1,5000,매일)바리스타에스프레소;해외)에이스밴드S(혼합형),,0,0
e_e002255,한우,1,3,1018190575,(주)현대이지웰,서울 서대문구 충정로 23,서울 서대문구 충정로3가 470,3112011,1141010200,6/1/23 0:00,3,67000,한우1++모듬구이+한우 차돌박이,,0,0
